City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
171,Zhanaozen,KZ,43.3,52.8,59.97,53,44,16.67,scattered clouds
172,Port Hardy,CA,50.6996,-127.4199,46.58,87,75,8.05,broken clouds
173,Nishihara,JP,26.1842,127.7558,72.68,83,75,11.5,broken clouds
174,San Juan,AR,-31.5375,-68.5364,66.34,22,0,2.06,clear sky
175,Thompson,CA,55.7435,-97.8558,44.76,24,20,12.66,few clouds
176,Tucurui,BR,-3.7661,-49.6725,74.03,86,100,2.57,overcast clouds
177,Lusambo,CD,-4.9667,23.45,74.28,82,80,2.51,broken clouds
178,Coquimbo,CL,-29.9533,-71.3436,56.93,94,75,13.8,broken clouds
179,Omaruru,NA,-21.4333,15.9333,56.14,14,0,7.67,clear sky
180,Ilulissat,GL,69.2167,-51.1,35.67,78,100,5.86,overcast clouds
181,Paamiut,GL,61.994,-49.6678,36.27,81,46,11.63,scattered clouds
182,Oxbow,CA,49.2333,-102.1676,46.63,49,97,10.51,overcast clouds
183,Pithiviers,FR,48.1667,2.25,75.22,69,12,4.94,few clouds
184,Tuatapere,NZ,-46.1333,167.6833,47.91,86,100,15.64,light rain
185,Chumikan,RU,54.7183,135.315,32.22,99,100,2.62,light snow
186,Phuntsholing,BT,26.8516,89.3884,70.41,85,2,4.56,clear sky
187,Kontagora,NG,10.3999,5.4695,89.35,39,79,5.37,light rain
188,Kieta,PG,-6.2167,155.6333,78.3,85,54,1.21,broken clouds
189,Henties Bay,NA,-22.116,14.2845,57.42,75,18,13.56,few clouds
190,Mocuba,MZ,-16.8392,36.9856,70.9,67,8,4.88,clear sky
191,Longyearbyen,SJ,78.2186,15.6401,37.24,70,75,9.22,broken clouds
192,Campiglia Marittima,IT,43.0602,10.6152,71.26,45,14,1.79,few clouds
193,Podor,MR,16.6527,-14.9587,101.66,12,18,19.55,few clouds
194,Ambilobe,MG,-13.2,49.05,75.81,74,68,3.31,broken clouds
195,Kashi,CN,39.4547,75.9797,65.59,39,100,14.32,overcast clouds
196,Jamestown,US,42.097,-79.2353,84.52,83,72,15.39,broken clouds
197,Rodino,RU,52.5,80.25,67.59,44,67,11.07,broken clouds
198,Geraldton,AU,-28.7667,114.6,57.61,88,40,10.36,scattered clouds
199,Avesta,SE,60.1455,16.1679,55.13,50,100,4.0,overcast clouds
200,Beloha,MG,-25.1667,45.05,69.76,54,53,7.09,broken clouds
201,Port Alfred,ZA,-33.5906,26.891,55.18,93,69,3.36,broken clouds
202,Casper,US,42.8666,-106.3131,46.72,46,40,5.75,scattered clouds
203,Cururupu,BR,-1.8283,-44.8683,81.5,83,43,3.38,scattered clouds
204,Vetlanda,SE,57.4289,15.0776,47.07,94,100,5.55,light rain
205,Yashkul,RU,46.1711,45.3435,55.6,86,100,3.53,overcast clouds
206,Kiunga,PG,-6.1219,141.2906,71.83,99,84,1.66,broken clouds
207,Georgetown,MY,5.4112,100.3354,82.33,88,20,2.3,few clouds
208,Saint George,US,37.1041,-113.5841,72.63,13,3,4.0,clear sky
209,Masterton,NZ,-40.9597,175.6575,46.58,90,76,1.21,broken clouds
210,Baft,IR,29.234,56.6057,73.13,12,0,7.11,clear sky
211,Adrar,MR,20.5022,-10.0711,104.05,6,2,2.33,clear sky
212,Talaya,RU,61.3833,152.75,30.72,90,91,5.91,overcast clouds
213,San Lazaro,BZ,18.0387,-88.6622,97.66,42,94,13.33,overcast clouds
214,Dicabisagan,PH,17.0818,122.4157,78.42,87,100,4.83,overcast clouds
215,Tiksi,RU,71.6872,128.8694,19.27,100,80,2.95,broken clouds
216,Prince Rupert,CA,54.3161,-130.3201,61.57,47,0,2.26,clear sky
217,Torres,BR,-29.3353,-49.7269,69.82,59,0,5.1,clear sky
218,Dudinka,RU,69.4058,86.1778,37.36,99,100,5.86,overcast clouds
219,Sultepec,MX,18.8667,-99.95,79.14,18,4,7.4,clear sky
220,Mar Del Plata,AR,-38.0023,-57.5575,62.94,65,0,5.99,clear sky
221,Hay River,CA,60.8156,-115.7999,51.04,42,100,4.56,overcast clouds
222,Barcelos,PT,41.5388,-8.6151,69.85,93,100,2.71,light rain
